ID,TRL2,TRVHR,time
1432192,4.5,29,29.8
1449002,4.5,29,29.2
1448625,4.5,28,28.2
1432476,3.5,28,28.9
1451806,3.5,28,28.6
1415418,3,28,29.0
1432457,4.5,26,26.0
1449173,3.5,26,27.0
1435126,4.5,25,25.0
1415711,3.5,25,25.0
1415712,3.5,25,25.1
1415719,3.5,25,25.0
1437379,3.5,25,25.3
1437380,3.5,25,25.3
1437381,3.5,25,25.3
1437382,3.5,25,25.2
1437383,3.5,25,25.3
1437385,3.5,25,25.3
1439581,3.5,25,25.2
1439582,3.5,25,25.3
1439585,3.5,25,25.3
1439589,3.5,25,25.3
1439593,3.5,25,25.2
1439594,3.5,25,25.2
1439595,3.5,25,25.2
1439596,3.5,25,25.3
1439597,3.5,25,25.1
1439599,3.5,25,25.3
1439603,3.5,25,25.2
1439605,3.5,25,25.3
1439608,3.5,25,25.3
1439609,3.5,25,25.2
1439610,3.5,25,25.2
1440633,3.5,25,25.4
1440635,3.5,25,25.2
1440636,3.5,25,25.2
1440637,3.5,25,25.3
1440638,3.5,25,25.3
1440639,3.5,25,25.2
1440641,3.5,25,25.3
1440643,3.5,25,25.2
1440644,3.5,25,25.4
1440645,3.5,25,25.3
1440646,3.5,25,25.3
1440649,3.5,25,25.3
1440652,3.5,25,25.2
1440653,3.5,25,25.2
1445848,3.5,25,25.0
1445854,3.5,25,25.2
1445858,3.5,25,25.2
1447043,3.5,25,25.2
1447044,3.5,25,25.3
1447045,3.5,25,25.2
1447047,3.5,25,25.1
1447048,3.5,25,25.2
1447049,3.5,25,25.2
1447053,3.5,25,25.3
1447054,3.5,25,25.1
1447055,3.5,25,25.1
1447056,3.5,25,25.1
1447058,3.5,25,25.1
1447059,3.5,25,25.2
1447060,3.5,25,25.2
1447061,3.5,25,25.4
1447062,3.5,25,25.1
1450009,3.5,25,25.3
1450058,3.5,25,25.4
1450066,3.5,25,25.4
1450067,3.5,25,25.3
1450068,3.5,25,25.5
1450071,3.5,25,25.2
1450072,3.5,25,25.5
1450075,3.5,25,25.3
1450076,3.5,25,25.3
1450077,3.5,25,25.4
1450079,3.5,25,25.3
1458221,3.5,25,25.1
1464204,3.5,25,25.1
1464207,3.5,25,25.2
1464208,3.5,25,25.2
1464213,3.5,25,25.1
1464214,3.5,25,25.1
1473031,3.5,25,25.1
1473037,3.5,25,25.2
1473040,3.5,25,25.2
1485536,3.5,25,25.4
1485538,3.5,25,25.4
1485539,3.5,25,25.4
1485540,3.5,25,25.4
1485541,3.5,25,25.4
1485542,3.5,25,25.4
1485543,3.5,25,25.5
1485544,3.5,25,25.2
1485545,3.5,25,25.4
1485546,3.5,25,25.3
1485549,3.5,25,25.3
1485550,3.5,25,25.4
1485551,3.5,25,25.2
1485553,3.5,25,25.4
1485554,3.5,25,25.4
1485555,3.5,25,25.2
1485556,3.5,25,25.4
1485561,3.5,25,25.2
1485562,3.5,25,25.4
1485565,3.5,25,25.2
1485566,3.5,25,25.5
1485567,3.5,25,25.2
1485568,3.5,25,25.2
1485569,3.5,25,25.2
1485570,3.5,25,25.4
1485571,3.5,25,25.3
1485573,3.5,25,25.2
1485574,3.5,25,25.4
1485576,3.5,25,25.4
1485577,3.5,25,25.4
1485579,3.5,25,25.2
1485580,3.5,25,25.4
1485581,3.5,25,25.2
1485583,3.5,25,25.4
1485585,3.5,25,25.4
1485587,3.5,25,25.4
1485590,3.5,25,25.4
1448442,3,25,25.9
1426353,4.5,24,24.1
1428632,4.5,24,24.5
5006,3.5,24,24.6
5998,3.5,24,24.6
6046,3.5,24,24.6
6047,3.5,24,24.6
6048,3.5,24,24.6
6816,3.5,24,24.6
6817,3.5,24,24.6
1415699,3.5,24,24.6
1415722,3.5,24,24.9
1415723,3.5,24,25.0
1415724,3.5,24,25.0
1437373,3.5,24,24.6
1437377,3.5,24,24.8
1439560,3.5,24,24.6
1439565,3.5,24,24.6
1439572,3.5,24,24.6
1439575,3.5,24,24.8
1440614,3.5,24,24.6
1440617,3.5,24,24.6
1440618,3.5,24,24.8
1440619,3.5,24,24.6
1440624,3.5,24,24.6
1440627,3.5,24,24.6
1440628,3.5,24,24.6
1440629,3.5,24,24.6
1440630,3.5,24,24.7
1440631,3.5,24,24.6
1440632,3.5,24,24.6
1442697,3.5,24,24.4
1445840,3.5,24,24.6
1445849,3.5,24,24.9
1445850,3.5,24,25.0
1445859,3.5,24,25.0
1445862,3.5,24,25.0
1453729,3.5,24,24.9
1453731,3.5,24,24.9
1453740,3.5,24,24.8
1453742,3.5,24,24.9
1453744,3.5,24,24.9
1453746,3.5,24,25.0
1453747,3.5,24,24.9
1453749,3.5,24,24.9
1456068,3.5,24,25.0
1456076,3.5,24,24.9
1456078,3.5,24,24.9
1456079,3.5,24,24.9
1458222,3.5,24,24.9
1458226,3.5,24,25.0
1458228,3.5,24,25.0
1459963,3.5,24,24.7
1459982,3.5,24,24.7
1459984,3.5,24,24.6
1459993,3.5,24,24.7
1459998,3.5,24,24.6
1460000,3.5,24,24.6
1464201,3.5,24,25.0
1464210,3.5,24,24.9
1473004,3.5,24,24.9
1473006,3.5,24,24.8
1473007,3.5,24,24.9
1473008,3.5,24,24.8
1473010,3.5,24,24.8
1473013,3.5,24,25.0
1473014,3.5,24,24.9
1473015,3.5,24,24.8
1473016,3.5,24,24.9
1473019,3.5,24,24.9
1473025,3.5,24,24.9
1473027,3.5,24,25.0
1473029,3.5,24,24.9
1473032,3.5,24,25.0
1473033,3.5,24,24.9
1473035,3.5,24,24.8
1473036,3.5,24,24.9
1473038,3.5,24,24.9
1473039,3.5,24,24.9
1473041,3.5,24,24.8
1473042,3.5,24,24.8
1473044,3.5,24,24.8
1475217,3.5,24,24.9
1475219,3.5,24,24.8
1475220,3.5,24,24.9
1475224,3.5,24,24.8
1475226,3.5,24,24.8
1475228,3.5,24,24.9
1475229,3.5,24,24.9
1475231,3.5,24,24.8
1475233,3.5,24,24.9
1485396,3.5,24,24.6
1485511,3.5,24,24.6
1397506,4.5,23,23.4
1397508,4.5,23,23.5
1397509,4.5,23,23.4
1397510,4.5,23,23.5
1397992,4.5,23,23.5
1397994,4.5,23,23.4
1397997,4.5,23,23.4
1397998,4.5,23,23.5
1409943,4.5,23,23.2
1409952,4.5,23,23.2
1409953,4.5,23,23.2
1409958,4.5,23,23.2
1410508,4.5,23,23.3
1410510,4.5,23,23.2
1410511,4.5,23,23.2
1410888,4.5,23,23.2
1410907,4.5,23,23.4
1410910,4.5,23,23.4
1410912,4.5,23,23.4
1410915,4.5,23,23.4
1410921,4.5,23,23.3
1412240,4.5,23,23.2
1412744,4.5,23,23.4
1412746,4.5,23,23.3
1412748,4.5,23,23.3
1412749,4.5,23,23.3
1415423,4.5,23,23.2
1415425,4.5,23,23.3
1415427,4.5,23,23.3
1415428,4.5,23,23.3
1415429,4.5,23,23.3
1415430,4.5,23,23.3
1415431,4.5,23,23.3
1415432,4.5,23,23.2
1415433,4.5,23,23.2
1416546,4.5,23,23.1
1416552,4.5,23,23.2
1416553,4.5,23,23.2
1416554,4.5,23,23.2
1416636,4.5,23,23.6
1416637,4.5,23,23.6
1416643,4.5,23,23.6
1416644,4.5,23,23.6
1416646,4.5,23,23.5
1416662,4.5,23,23.5
1416665,4.5,23,23.4
1416668,4.5,23,23.4
1416671,4.5,23,23.5
1416672,4.5,23,23.4
1416673,4.5,23,23.4
1416675,4.5,23,23.4
1416938,4.5,23,23.2
1416942,4.5,23,23.2
1416945,4.5,23,23.2
1416946,4.5,23,23.2
1423085,4.5,23,23.2
1423088,4.5,23,23.2
1423092,4.5,23,23.1
1423097,4.5,23,23.1
1424968,4.5,23,23.6
1424969,4.5,23,23.6
1424970,4.5,23,23.6
1424971,4.5,23,23.6
1424972,4.5,23,23.6
1424974,4.5,23,23.6
1426332,4.5,23,23.2
1426334,4.5,23,23.1
1426336,4.5,23,23.1
1426340,4.5,23,23.2
1426428,4.5,23,23.5
1426434,4.5,23,23.5
1426820,4.5,23,23.3
1426829,4.5,23,23.3
1426843,4.5,23,23.3
1426844,4.5,23,23.3
1426845,4.5,23,23.4
1426847,4.5,23,23.3
1426853,4.5,23,23.3
1426855,4.5,23,23.3
1426856,4.5,23,23.4
1426858,4.5,23,23.3
1427914,4.5,23,23.2
1427915,4.5,23,23.1
1427918,4.5,23,23.1
1427926,4.5,23,23.2
1427935,4.5,23,23.2
1427936,4.5,23,23.2
1428571,4.5,23,23.2
1428574,4.5,23,23.2
1428578,4.5,23,23.2
1428581,4.5,23,23.2
1428679,4.5,23,23.6
1428687,4.5,23,23.6
1428688,4.5,23,23.6
1428690,4.5,23,23.6
1428691,4.5,23,23.6
1428694,4.5,23,23.6
1428696,4.5,23,23.6
1428698,4.5,23,23.6
1428716,4.5,23,23.5
1428720,4.5,23,23.4
1428724,4.5,23,23.5
1428727,4.5,23,23.3
1428729,4.5,23,23.4
1431988,4.5,23,23.1
1431990,4.5,23,23.1
1431996,4.5,23,23.2
1431999,4.5,23,23.1
1432023,4.5,23,23.1
1432047,4.5,23,23.3
1432054,4.5,23,23.1
1432061,4.5,23,23.1
1432062,4.5,23,23.1
1432065,4.5,23,23.1
1432067,4.5,23,23.2
1432068,4.5,23,23.1
1432071,4.5,23,23.1
1432072,4.5,23,23.2
1432074,4.5,23,23.1
1432081,4.5,23,23.2
1432085,4.5,23,23.1
1432095,4.5,23,23.3
1432507,4.5,23,23.4
1432515,4.5,23,23.4
1432526,4.5,23,23.4
1432528,4.5,23,23.5
1432533,4.5,23,23.4
1432542,4.5,23,23.4
1432544,4.5,23,23.5
1432545,4.5,23,23.4
1432548,4.5,23,23.4
1432549,4.5,23,23.4
1432550,4.5,23,23.4
1432552,4.5,23,23.5
1432559,4.5,23,23.4
1432565,4.5,23,23.4
