HERDID,ID,PEN,REG,EID,BREED,BIRTH,EDAT,Event,DIM,Date,Remark,R,T,B,Protocols,Technician
85307063,1431,1120,USA003291547219 ,USA003291547219 ,C     ,11/28/2024,1/29/2025,MOVE       ,185,6/1/2025,F1120T1121      ,  ,   ,  ,                , 
85307063,1431,1121,USA003291547219 ,USA003291547219 ,C     ,11/28/2024,1/29/2025,MOVE       ,185,6/1/2025,F1121T1120      ,  ,   ,  ,                , 
85307063,1787,15,USA003303196110 ,USA003303196110 ,C     ,2/6/2025,2/10/2025,BLOAT      ,115,6/1/2025,MIN OIL         , ,,,,
85307063,1787,15,USA003303196110 ,USA003303196110 ,C     ,2/6/2025,2/10/2025,PNEU       ,115,6/1/2025,EXCE-1.5CC      ,  ,   ,  , EXCEDE SC 1.5c , 
85307063,1787,15,USA003303196110 ,USA003303196110 ,C     ,2/6/2025,2/10/2025,COMMENT    ,115,6/1/2025,102,  ,   ,  ,                , 
85307063,1870,10,USA003303196042 ,USA003303196042 ,C     ,2/19/2025,2/26/2025,COMMENT    ,102,6/1/2025,102.6,  ,   ,  ,                , 
85307063,1870,10,USA003303196042 ,USA003303196042 ,C     ,2/19/2025,2/26/2025,PNEU       ,102,6/1/2025,RES6X100        ,  ,   ,  , Resflur SC 6m  , 
85307063,1896,10,USA003288325916 ,USA003288325916 ,C     ,2/21/2025,2/26/2025,COMMENT    ,100,6/1/2025,103.9,  ,   ,  ,                , 
85307063,1896,10,USA003288325916 ,USA003288325916 ,C     ,2/21/2025,2/26/2025,PNEU       ,100,6/1/2025,RES6X100        ,  ,   ,  , Resflur SC 6m  , 
85307063,1911,10,USA003303195849 ,USA003303195849 ,C     ,3/1/2025,3/5/2025,COMMENT    ,92,6/1/2025,103,  ,   ,  ,                , 
85307063,1911,10,USA003303195849 ,USA003303195849 ,C     ,3/1/2025,3/5/2025,PNEU       ,92,6/1/2025,RES6X100        ,  ,   ,  , Resflur SC 6m  , 
85307063,2161,2,USA003295909882 ,USA003295909882 ,C     ,3/19/2025,3/24/2025,PNEU       ,74,6/1/2025,EXCE-1.5CC      ,  ,   ,  , EXCEDE SC 1.5c , 
85307063,2294,2,USA003295910582 ,USA003295910582 ,C     ,4/29/2025,4/30/2025,PNEU       ,33,6/1/2025,EXCE-1.5CC      ,  ,   ,  , EXCEDE SC 1.5c , 
85307063,2319,2,USA003288325696 ,USA003288325696 ,C     ,5/3/2025,5/7/2025,PNEU       ,29,6/1/2025,EXCE-1.5CC      ,  ,   ,  , EXCEDE SC 1.5c , 
85307063,2322,2,USA003295909925 ,USA003295909925 ,C     ,5/3/2025,5/7/2025,PNEU       ,29,6/1/2025,EXCE-1.5CC      ,  ,   ,  , EXCEDE SC 1.5c , 
85307063,2338,2,USA003295910127 ,USA003295910127 ,C     ,5/7/2025,5/14/2025,PNEU       ,25,6/1/2025,RES6X100        ,  ,   ,  , Resflur SC 6m  , 
85307063,2510,0,USA003299523173 ,USA003313541372 ,C     ,6/1/2025,6/4/2025,VACC       ,0,6/1/2025,BCOR.INF        ,  ,   ,  ,                , 
85307063,2513,0,USA003299522877 ,USA003299522877 ,C     ,6/1/2025,6/4/2025,VACC       ,0,6/1/2025,BCOR.INF        ,  ,   ,  ,                , 
85307063,2513,202,USA003299522877 ,USA003299522877 ,C     ,6/1/2025,6/4/2025,MOVE       ,0,6/1/2025,F202T250        ,  ,   ,  ,                , 
85307063,2521,249,USA003295909794 ,USA003295909794 ,C     ,5/31/2025,6/2/2025,PROGRAM    ,1,6/1/2025,SAV             ,  ,   ,  ,                , 
85307063,2521,249,USA003295909794 ,USA003295909794 ,C     ,5/31/2025,6/2/2025,FROMTO     ,1,6/1/2025,TCM.TCC         ,  ,   ,  ,                , 
85307063,2521,250,USA003295909794 ,USA003295909794 ,C     ,5/31/2025,6/2/2025,MOVE       ,1,6/1/2025,F250T249        ,  ,   ,  ,                , 
85307063,2521,200,USA003295909794 ,USA003295909794 ,C     ,5/31/2025,6/2/2025,MOVE       ,1,6/1/2025,F200T250        ,  ,   ,  ,                , 
85307063,2522,200,USA003295909787 ,USA003295909787 ,C     ,5/31/2025,6/4/2025,MOVE       ,1,6/1/2025,F200T250        ,  ,   ,  ,                , 
85307063,2522,250,USA003295909787 ,USA003295909787 ,C     ,5/31/2025,6/4/2025,MOVE       ,1,6/1/2025,F250T249        ,  ,   ,  ,                , 
85307063,2522,249,USA003295909787 ,USA003295909787 ,C     ,5/31/2025,6/4/2025,FROMTO     ,1,6/1/2025,TCM.TCC         ,  ,   ,  ,                , 
85307063,2522,249,USA003295909787 ,USA003295909787 ,C     ,5/31/2025,6/4/2025,PROGRAM    ,1,6/1/2025,SAV             ,  ,   ,  ,                , 
85307063,2523,201,USA003299523180 ,USA003299523180 ,C     ,6/1/2025,6/4/2025,MOVE       ,0,6/1/2025,F201T250        ,  ,   ,  ,                , 
85307063,2523,0,USA003299523180 ,USA003299523180 ,C     ,6/1/2025,6/4/2025,VACC       ,0,6/1/2025,BCOR.INF        ,  ,   ,  ,                , 
85307063,2524,0,USA003299523164 ,USA003299523164 ,C     ,6/1/2025,6/4/2025,VACC       ,0,6/1/2025,BCOR.INF        ,  ,   ,  ,                , 
85307063,2525,0,USA003306591650 ,USA003306591650 ,C     ,6/1/2025,6/4/2025,VACC       ,0,6/1/2025,BCOR.INF        ,  ,   ,  ,                , 
85307063,2530,249,USA003299522861 ,USA003299522861 ,C     ,5/31/2025,6/2/2025,PROGRAM    ,1,6/1/2025,SAV             ,  ,   ,  ,                , 
85307063,2530,249,USA003299522861 ,USA003299522861 ,C     ,5/31/2025,6/2/2025,FROMTO     ,1,6/1/2025,TCM.TCC         ,  ,   ,  ,                , 
85307063,2530,250,USA003299522861 ,USA003299522861 ,C     ,5/31/2025,6/2/2025,MOVE       ,1,6/1/2025,F250T249        ,  ,   ,  ,                , 
85307063,2530,201,USA003299522861 ,USA003299522861 ,C     ,5/31/2025,6/2/2025,MOVE       ,1,6/1/2025,F201T250        ,  ,   ,  ,                , 
85307063,2533,249,USA003299523205 ,USA003299523205 ,C     ,5/31/2025,6/4/2025,PROGRAM    ,1,6/1/2025,SAV             ,  ,   ,  ,                , 
85307063,2533,249,USA003299523205 ,USA003299523205 ,C     ,5/31/2025,6/4/2025,FROMTO     ,1,6/1/2025,TCM.TCC         ,  ,   ,  ,                , 
85307063,2533,250,USA003299523205 ,USA003299523205 ,C     ,5/31/2025,6/4/2025,MOVE       ,1,6/1/2025,F250T249        ,  ,   ,  ,                , 
85307063,2535,250,USA003295909995 ,USA003295909995 ,C     ,5/31/2025,6/2/2025,MOVE       ,1,6/1/2025,F250T249        ,  ,   ,  ,                , 
85307063,2535,249,USA003295909995 ,USA003295909995 ,C     ,5/31/2025,6/2/2025,FROMTO     ,1,6/1/2025,TCM.TCC         ,  ,   ,  ,                , 
85307063,2535,249,USA003295909995 ,USA003295909995 ,C     ,5/31/2025,6/2/2025,PROGRAM    ,1,6/1/2025,SAV             ,  ,   ,  ,                , 
85307063,2536,249,USA003299522529 ,USA003299522529 ,C     ,5/31/2025,6/2/2025,PROGRAM    ,1,6/1/2025,SAV             ,  ,   ,  ,                , 
85307063,2536,250,USA003299522529 ,USA003299522529 ,C     ,5/31/2025,6/2/2025,MOVE       ,1,6/1/2025,F250T249        ,  ,   ,  ,                , 
85307063,2536,249,USA003299522529 ,USA003299522529 ,C     ,5/31/2025,6/2/2025,FROMTO     ,1,6/1/2025,TCM.TCC         ,  ,   ,  ,                , 
85307063,2538,249,USA003299522519 ,USA003299522519 ,C     ,5/31/2025,6/2/2025,PROGRAM    ,1,6/1/2025,SAV             ,  ,   ,  ,                , 
85307063,2538,250,USA003299522519 ,USA003299522519 ,C     ,5/31/2025,6/2/2025,MOVE       ,1,6/1/2025,F250T249        ,  ,   ,  ,                , 
85307063,2538,249,USA003299522519 ,USA003299522519 ,C     ,5/31/2025,6/2/2025,FROMTO     ,1,6/1/2025,TCM.TCC         ,  ,   ,  ,                , 
