"","CalfID","sex","Breed2","stp","BRTHW","SORCE","SD","DB","diaload","diaARR","LOAD","week","transitT","PN1a","PN2a","DIA1","D30","P30","P60","D30yn","D60yn","diaex","navelex","DIA30","PNEU30","PNEU60","Nav30","N30","DED30","DED60","Remark_PNEU1","Remark_DIED1","SD_DB"
"1",1412174,"F","B",0,77,"LOD",3.5,"B",7,8,"2025-06-23_3.5_B","A",23.7,1,0,0,0,0,1,0,0,0,0,30,30,33,30,0,30,60,"RES6X100",NA,"3.5_B"
"2",1424830,"F","B",0,84,"WRD",3.5,"B",6,7,"2025-06-23_3.5_B","A",23.6,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"3",1431929,"M","B",0,109,"MAD",3,"B",6,7,"2025-06-23_3_B","A",22.5,1,1,0,0,1,1,0,0,0,0,30,27,27,30,0,30,60,"RES6X100","INFECTION","3_B"
"4",1451241,"F","B",0,80,"D45",3.5,"B",6,7,"2025-06-23_3.5_B","A",23.6,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3.5_B"
"5",796450,"F","D",0,69,"WRD",3,"D",5,6,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"6",809302,"F","D",0,95,"LOD",3,"D",5,6,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"7",809311,"F","D",0,65,"LOD",3,"D",5,6,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"8",809312,"F","D",0,73,"LOD",3,"D",5,6,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"9",809313,"F","D",0,84,"LOD",3,"D",5,6,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"10",813275,"F","D",0,69,"SWD",3,"D",5,6,"2025-06-23_3_D","A",25,0,0,1,1,0,0,0,0,0,0,5,30,60,30,0,30,60,NA,NA,"3_D"
"11",815136,"F","D",0,78,"RVD",3,"D",5,6,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
