"","ID","EID.x","BIRTH","sex","BREED","Breed2","TRVHR","time","BRTHW","SERUM","SORCE","TRL2.x","LOADT","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_NAVEL1","Remark_NAVEL1","Date_NAVEL2","Remark_NAVEL2","Date_NAVEL3","Remark_NAVEL3","Date_DIED1","Remark_DIED1","TRL2","LOADT_date","ARR","diaload","diaARR","dfaP1","dbtwP12","dbtwP23","dfaP2","dfaP3","dfaD1","dfaD2","dbtwD12","dfaB1","dfaB2","dfaN1","dfaN2","dfaN3","dfaDIED","LOAD","n","sbTRT","SD","Sex","DB","DBxS","Behav?","TRVhr","...10","transitT","PN1a","PN2","PN3","DIA1","DIA2","B1","B2","N1","DIED","PN2a","Date_PN1a","Date_PN2a"
"1",1412174,"USA003306584406",2025-06-16,"F","B","B",23,23.7,77,0,"LOD",3.5,2025-06-23,2025-07-27,"RES6X100",2025-08-02,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-06-23,2025-06-24,7,8,33,6,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3.5_B",244,"BF3.5",3.5,"F","B","BF",0,22.7,NA,23.7,1,1,0,0,0,0,0,0,0,0,2025-07-27,NA
"2",1424830,"USA003306610461",2025-06-17,"F","B","B",23,23.6,84,0,"WRD",3.5,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-06-23,2025-06-24,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3.5_B",244,"BF3.5",3.5,"F","B","BF",0,22.7,NA,23.6,0,0,0,0,0,0,0,0,0,0,NA,NA
"3",1431929,"USA003298689529",2025-06-17,"M","B","B",22,22.5,109,0,"MAD",3,2025-06-23,2025-07-21,"RES6X100",2025-07-27,"EXCE-1.5CC",2025-09-22,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16,"INFECTION","3",2025-06-23,2025-06-24,6,7,27,6,57,33,90,NA,NA,NA,NA,NA,NA,NA,NA,145,"2025-06-23_3_B",282,"BM3.0",3,"M","B","BM",0,22.6,NA,22.5,1,1,1,0,0,0,0,0,1,1,2025-07-21,2025-09-22
"4",1451241,"USA003313530819",2025-06-17,"F","B","B",23,23.6,80,0,"D45",3.5,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5",2025-06-23,2025-06-24,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3.5_B",244,"BF3.5",3.5,"F","B","BF",0,22.7,NA,23.6,0,0,0,0,0,0,0,0,0,0,NA,NA
"5",796450,"USA003308394665",2025-06-18,"F","D","D",NA,NA,69,0,"WRD",3,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_D",266,"DF3.0",3,"F","D","DF",0,25,NA,25,0,0,0,0,0,0,0,0,0,0,NA,NA
"6",809302,"USA003306516063",2025-06-18,"F","D","D",NA,NA,95,0,"LOD",3,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_D",266,"DF3.0",3,"F","D","DF",0,25,NA,25,0,0,0,0,0,0,0,0,0,0,NA,NA
"7",809311,"USA003310398214",2025-06-18,"F","D","D",NA,NA,65,0,"LOD",3,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_D",266,"DF3.0",3,"F","D","DF",0,25,NA,25,0,0,0,0,0,0,0,0,0,0,NA,NA
"8",809312,"USA003310398279",2025-06-18,"F","D","D",NA,NA,73,0,"LOD",3,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_D",266,"DF3.0",3,"F","D","DF",0,25,NA,25,0,0,0,0,0,0,0,0,0,0,NA,NA
"9",809313,"USA003306516104",2025-06-18,"F","D","D",NA,NA,84,0,"LOD",3,2025-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_D",266,"DF3.0",3,"F","D","DF",0,25,NA,25,0,0,0,0,0,0,0,0,0,0,NA,NA
"10",813275,"USA003308443460",2025-06-18,"F","D","D",NA,NA,69,0,"SWD",3,2025-06-23,NA,NA,NA,NA,NA,NA,2025-06-29,"ADDPACK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2025-06-23,2025-06-24,5,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-23_3_D",266,"DF3.0",3,"F","D","DF",0,25,NA,25,0,0,0,1,0,0,0,0,0,0,NA,NA
