ID,TRL2,TRVHR,time
682030,3.5,29,29.37
682031,3.5,29,29.17
682034,3.5,29,29.15
682035,3.5,29,29.08
682037,3.5,29,29.20
682039,3.5,29,29.15
682041,3.5,29,29.18
682042,3.5,29,29.15
682043,3.5,29,29.37
682044,3.5,29,29.20
682045,3.5,29,29.17
682046,3.5,29,29.13
786776,3.5,29,29.22
786777,3.5,29,29.20
786778,3.5,29,29.22
786779,3.5,29,29.40
786780,3.5,29,29.40
786781,3.5,29,29.20
786782,3.5,29,29.22
786783,3.5,29,29.47
804809,3.5,29,29.42
804823,3.5,29,29.48
804824,3.5,29,29.42
804825,3.5,29,29.23
804826,3.5,29,29.42
804827,3.5,29,29.42
804828,3.5,29,29.48
804829,3.5,29,29.20
805991,3.5,29,29.10
805999,3.5,29,29.17
809363,3.5,29,29.50
809366,3.5,29,29.48
809369,3.5,29,29.47
809370,3.5,29,29.47
809371,3.5,29,29.22
809372,3.5,29,29.50
809373,3.5,29,29.45
809374,3.5,29,29.48
809375,3.5,29,29.23
809376,3.5,29,29.45
809377,3.5,29,29.20
809378,3.5,29,29.47
809380,3.5,29,29.23
809381,3.5,29,29.47
809382,3.5,29,29.48
813062,3.5,29,29.50
813063,3.5,29,29.48
813064,3.5,29,29.50
813065,3.5,29,29.50
813066,3.5,29,29.50
813067,3.5,29,29.48
813068,3.5,29,29.48
813069,3.5,29,29.50
813070,3.5,29,29.50
813071,3.5,29,29.48
814070,3.5,29,29.10
814111,3.5,29,29.18
814113,3.5,29,29.38
814114,3.5,29,29.15
814116,3.5,29,29.13
814118,3.5,29,29.17
814119,3.5,29,29.15
814121,3.5,29,29.13
814122,3.5,29,29.15
814123,3.5,29,29.15
819111,3.5,29,29.17
820037,3.5,29,29.12
844215,3.5,29,29.12
844221,3.5,29,29.10
844222,3.5,29,29.17
844225,3.5,29,29.13
682032,3.5,28,28.45
682033,3.5,28,28.42
682038,3.5,28,28.43
682040,3.5,28,28.43
682047,3.5,28,28.80
682048,3.5,28,28.83
682049,3.5,28,28.83
682050,3.5,28,28.85
682051,3.5,28,28.82
682052,3.5,28,28.82
682053,3.5,28,28.87
682054,3.5,28,28.82
682055,3.5,28,28.82
682056,3.5,28,28.88
682057,3.5,28,28.85
682058,3.5,28,28.92
682059,3.5,28,28.83
682060,3.5,28,28.82
682061,3.5,28,28.85
682062,3.5,28,28.83
682063,3.5,28,28.90
786771,3.5,28,28.43
786775,3.5,28,28.43
796466,3.5,28,28.80
796467,3.5,28,28.58
796468,3.5,28,28.57
796469,3.5,28,28.58
796472,3.5,28,28.57
804804,3.5,28,28.43
804808,3.5,28,28.42
804810,3.5,28,28.47
804811,3.5,28,28.43
804816,3.5,28,28.47
809362,3.5,28,28.45
809751,3.5,28,28.63
809853,3.5,28,28.63
809855,3.5,28,28.65
812009,3.5,28,28.35
812010,3.5,28,28.33
812011,3.5,28,28.20
812012,3.5,28,28.30
812013,3.5,28,28.22
812014,3.5,28,28.27
812015,3.5,28,28.32
812016,3.5,28,28.18
812017,3.5,28,28.25
812018,3.5,28,28.35
812020,3.5,28,28.87
812021,3.5,28,28.92
812022,3.5,28,28.87
812023,3.5,28,28.90
812024,3.5,28,28.98
812025,3.5,28,28.90
814088,3.5,28,28.88
814115,3.5,28,28.42
814117,3.5,28,28.42
814120,3.5,28,28.43
814124,3.5,28,28.83
814125,3.5,28,28.82
814126,3.5,28,28.83
814127,3.5,28,28.80
