LOAD,n,sbTRT,SD,Sex,DB,DBxS,Behav?
2025-06-30_3_B,281,BF3.0,3,F,B,BF,0
2025-07-21_3_B,282,BF3.0,3,F,B,BF,0
2025-06-23_3.5_B,244,BF3.5,3.5,F,B,BF,0
2025-06-24_3.5_B,242,BF3.5,3.5,F,B,BF,0
2025-07-14_3.5_B,242,BF3.5,3.5,F,B,BF,0
2025-07-28_3.5_B,242,BF3.5,3.5,F,B,BF,0
2025-08-20_4.5_B,185,B4.5,4.5,F,B,BF,0
2025-07-02_4.5_B,185,BF4.5,4.5,F,B,BF,0
2025-07-07_4.5_B,186,BF4.5,4.5,F,B,BF,0
2025-07-08_4.5_B,184,BF4.5,4.5,F,B,BF,0
2025-07-29_4.5_B,185,BF4.5,4.5,F,B,BF,0
2025-07-30_4.5_B,185,BF4.5,4.5,F,B,BF,0
2025-06-23_3_D,266,DF3.0,3,F,D,DF,0
2025-07-01_3_D,271,DF3.0,3,F,D,DF,0
2025-07-09_3_D,281,DF3.0,3,F,D,DF,0
2025-07-15_3_D,280,DF3.0,3,F,D,DF,0
2025-07-29_3_D,280,DF3.0,3,F,D,DF,1
2025-06-25_3.5_D,242,DF3.5,3.5,F,D,DF,0
2025-07-02_3.5_D,246,DF3.5,3.5,F,D,DF,0
2025-07-08_3.5_D,242,DF3.5,3.5,F,D,DF,1
2025-07-14_3.5_D,228,DF3.5,3.5,F,D,DF,0
2025-07-22_3.5_D,242,DF3.5,3.5,F,D,DF,0
2025-08-01_3.5_D,243,DF3.5,3.5,F,D,DF,0
2025-06-24_4.5_D,185,DF4.5,4.5,F,D,DF,0
2025-06-30_4.5_D,175,DF4.5,4.5,F,D,DF,0
2025-07-07_4.5_D,175,DF4.5,4.5,F,D,DF,0
2025-07-21_4.5_D,185,DF4.5,4.5,F,D,DF,0
2025-07-23_3.5_D,186,DF4.5,4.5,F,D,DF,0
2025-07-28_4.5_D,175,DF4.5,4.5,F,D,DF,0
2025-06-23_3_B,282,BM3.0,3,M,B,BM,0
2025-07-07_3_B,281,BM3.0,3,M,B,BM,0
2025-07-10_3_B,280,BM3.0,3,M,B,BM,0
2025-07-28_3_B,282,BM3.0,3,M,B,BM,0
2025-08-20_3_B,280,BM3.0,3,M,B,BM,0
2025-06-30_3.5_B,244,BM3.5,3.5,M,B,BM,0
2025-07-02_3.5_B,242,BM3.5,3.5,M,B,BM,0
2025-07-08_3.5_B,244,BM3.5,3.5,M,B,BM,0
2025-07-16_3.5_B,242,BM3.5,3.5,M,B,BM,0
2025-07-21_3.5_B,232,BM3.5,3.5,M,B,BM,0
2025-07-30_3.5_B,242,BM3.5,3.5,M,B,BM,0
2025-06-23_4.5_B,186,BM4.5,4.5,M,B,BM,0
2025-06-30_4.5_B,184,BM4.5,4.5,M,B,BM,1
2025-07-21_4.5_B,186,BM4.5,4.5,M,B,BM,0
2025-07-22_4.5_B,186,BM4.5,4.5,M,B,BM,0
2025-07-28_4.5_B,186,BM4.5,4.5,M,B,BM,0
