ID,EID,BIRTH,sex,BREED,BRTHW,SERUM,SORCE,TRL2
5485,USA003306586053 ,7/16/2025,M     ,C     ,89,0,LOD   ,4.5
5488,USA003306585747 ,7/17/2025,M     ,C     ,88,0,LOD   ,4.5
5491,USA003306585756 ,7/18/2025,M     ,C     ,79,0,LOD   ,4.5
5492,USA003306585766 ,7/20/2025,M     ,C     ,104,0,LOD   ,4.5
5517,USA003295909656 ,6/26/2025,M     ,C     ,86,0,MSD   ,4.5
5525,USA003295979272 ,7/13/2025,M     ,C     ,83,70,MSD   ,4.5
5887,USA003311868665 ,7/13/2025,M     ,C     ,92,85,WSD   ,4.5
5888,USA003311868867 ,7/13/2025,M     ,C     ,85,0,WSD   ,4.5
5889,USA003311868624 ,7/14/2025,M     ,C     ,81,0,WSD   ,4.5
5893,USA003311868777 ,7/20/2025,M     ,C     ,83,0,WSD   ,4.5
5978,USA003306582092 ,7/18/2025,M     ,C     ,87,0,WAD   ,4.5
5979,USA003313545836 ,7/19/2025,M     ,C     ,85,77,WAD   ,4.5
6025,USA003313536335 ,7/21/2025,M     ,C     ,71,0,RVD   ,4.5
6481,USA003292368803 ,7/18/2025,M     ,C     ,84,0,CAD   ,4.5
8049,USA003311861558 ,7/14/2025,M     ,C     ,83,0,SWD   ,4.5
8313,USA003313535925 ,6/26/2025,M     ,C     ,90,0,GAD   ,4.5
8318,USA003313536118 ,7/13/2025,M     ,C     ,88,0,GAD   ,4.5
9751,USA003311861598 ,7/21/2025,M     ,C     ,117,60,SWD   ,4.5
9753,USA003311862230 ,7/22/2025,M     ,C     ,94,0,SWD   ,4.5
676489,USA003308394650 ,6/27/2025,F     ,D     ,71,0,WRD   ,4.5
676490,USA003308394790 ,6/27/2025,F     ,D     ,71,0,WRD   ,4.5
676492,USA003308394566 ,6/27/2025,F     ,D     ,67,0,WRD   ,4.5
682019,USA003304848330 ,6/21/2025,F     ,D     ,102,0,NOD   ,4.5
682020,USA003306706632 ,6/21/2025,F     ,D     ,78,0,NOD   ,4.5
682021,USA003304848216 ,6/21/2025,F     ,D     ,86,0,NOD   ,4.5
682022,USA003304848287 ,6/21/2025,F     ,D     ,67,0,NOD   ,4.5
682023,USA003304848322 ,6/21/2025,F     ,D     ,76,0,NOD   ,4.5
682024,USA003306706243 ,6/21/2025,F     ,D     ,60,0,NOD   ,4.5
682025,USA003304848313 ,6/21/2025,F     ,D     ,79,0,NOD   ,4.5
682026,USA003304848238 ,6/21/2025,F     ,D     ,63,0,NOD   ,4.5
682027,USA003306706428 ,6/21/2025,F     ,D     ,78,0,NOD   ,4.5
682028,USA003306706697 ,6/21/2025,F     ,D     ,73,0,NOD   ,4.5
682029,USA003304848323 ,6/21/2025,F     ,D     ,77,0,NOD   ,4.5
682036,USA003306706641 ,6/22/2025,F     ,D     ,70,0,NOD   ,4.5
682100,USA003313191745 ,6/25/2025,F     ,D     ,91,0,NOD   ,4.5
682101,USA003313191857 ,6/26/2025,F     ,D     ,70,0,NOD   ,4.5
682102,USA003313191782 ,6/26/2025,F     ,D     ,77,0,NOD   ,4.5
682103,USA003313191714 ,6/26/2025,F     ,D     ,71,0,NOD   ,4.5
682104,USA003313191826 ,6/26/2025,F     ,D     ,78,0,NOD   ,4.5
682105,USA003313191862 ,6/26/2025,F     ,D     ,82,0,NOD   ,4.5
682106,USA003313191893 ,6/26/2025,F     ,D     ,74,0,NOD   ,4.5
682107,USA003313191883 ,6/26/2025,F     ,D     ,66,0,NOD   ,4.5
682108,USA003313191749 ,6/26/2025,F     ,D     ,76,0,NOD   ,4.5
682109,USA003313191730 ,6/26/2025,F     ,D     ,76,0,NOD   ,4.5
682110,USA003313191711 ,6/26/2025,F     ,D     ,79,0,NOD   ,4.5
682111,USA003313191702 ,6/26/2025,F     ,D     ,70,0,NOD   ,4.5
682112,USA003313191691 ,6/26/2025,F     ,D     ,73,0,NOD   ,4.5
682113,USA003313191732 ,6/26/2025,F     ,D     ,63,0,NOD   ,4.5
682114,USA003313191757 ,6/26/2025,F     ,D     ,90,0,NOD   ,4.5
682115,USA003313191677 ,6/26/2025,F     ,D     ,86,0,NOD   ,4.5
682127,USA003313191834 ,6/27/2025,F     ,D     ,86,0,NOD   ,4.5
682213,USA003313191705 ,7/2/2025,F     ,D     ,97,0,NOD   ,4.5
682221,USA003313191697 ,7/3/2025,F     ,D     ,69,0,NOD   ,4.5
682224,USA003313191897 ,7/3/2025,F     ,D     ,68,0,NOD   ,4.5
682225,USA003313191899 ,7/3/2025,F     ,D     ,71,0,NOD   ,4.5
682228,USA003313191722 ,7/3/2025,F     ,D     ,87,0,NOD   ,4.5
682231,USA003313191770 ,7/3/2025,F     ,D     ,82,0,NOD   ,4.5
682232,USA003313191894 ,7/3/2025,F     ,D     ,72,0,NOD   ,4.5
682233,USA003302973158 ,7/3/2025,F     ,D     ,70,0,NOD   ,4.5
682235,USA003313191709 ,7/3/2025,F     ,D     ,70,0,NOD   ,4.5
682236,USA003313191895 ,7/3/2025,F     ,D     ,70,0,NOD   ,4.5
682237,USA003313191766 ,7/3/2025,F     ,D     ,65,0,NOD   ,4.5
682239,USA003313191859 ,7/3/2025,F     ,D     ,76,0,NOD   ,4.5
682240,USA003313191687 ,7/3/2025,F     ,D     ,65,0,NOD   ,4.5
682243,USA003313191744 ,7/3/2025,F     ,D     ,100,0,NOD   ,4.5
682244,USA003313191696 ,7/4/2025,F     ,D     ,65,0,NOD   ,4.5
682245,USA003313191707 ,7/4/2025,F     ,D     ,62,0,NOD   ,4.5
682246,USA003313192049 ,7/4/2025,F     ,D     ,83,0,NOD   ,4.5
682247,USA003313191765 ,7/4/2025,F     ,D     ,60,0,NOD   ,4.5
682248,USA003313191902 ,7/4/2025,F     ,D     ,79,0,NOD   ,4.5
682249,USA003313191666 ,7/4/2025,F     ,D     ,78,0,NOD   ,4.5
682250,USA003313191904 ,7/4/2025,F     ,D     ,73,0,NOD   ,4.5
682251,USA003313191803 ,7/4/2025,F     ,D     ,79,0,NOD   ,4.5
682252,USA003313191755 ,7/4/2025,F     ,D     ,74,0,NOD   ,4.5
682253,USA003313191693 ,7/4/2025,F     ,D     ,82,0,NOD   ,4.5
682254,USA003313191762 ,7/4/2025,F     ,D     ,70,0,NOD   ,4.5
682255,USA003313191796 ,7/4/2025,F     ,D     ,84,0,NOD   ,4.5
682256,USA003313191672 ,7/4/2025,F     ,D     ,64,0,NOD   ,4.5
682257,USA003313191866 ,7/4/2025,F     ,D     ,77,0,NOD   ,4.5
682258,USA003313191861 ,7/4/2025,F     ,D     ,78,0,NOD   ,4.5
682259,USA003313191839 ,7/4/2025,F     ,D     ,73,0,NOD   ,4.5
682260,USA003313191804 ,7/4/2025,F     ,D     ,69,0,NOD   ,4.5
682261,USA003313191733 ,7/4/2025,F     ,D     ,67,0,NOD   ,4.5
682262,USA003313191975 ,7/4/2025,F     ,D     ,65,0,NOD   ,4.5
682263,USA003313192123 ,7/4/2025,F     ,D     ,79,0,NOD   ,4.5
682404,USA003308445977 ,7/14/2025,F     ,D     ,62,0,NOD   ,4.5
682405,USA003313295220 ,7/14/2025,F     ,D     ,73,0,NOD   ,4.5
682406,USA003308445721 ,7/14/2025,F     ,D     ,72,0,NOD   ,4.5
682407,USA003313294822 ,7/14/2025,F     ,D     ,83,0,NOD   ,4.5
682408,USA003313294866 ,7/14/2025,F     ,D     ,85,0,NOD   ,4.5
682409,USA003313295248 ,7/14/2025,F     ,D     ,82,0,NOD   ,4.5
682410,USA003272652918 ,7/14/2025,F     ,D     ,66,0,NOD   ,4.5
682411,USA003313295019 ,7/14/2025,F     ,D     ,72,0,NOD   ,4.5
682412,USA003302971940 ,7/14/2025,F     ,D     ,76,0,NOD   ,4.5
682413,USA003313294991 ,7/14/2025,F     ,D     ,70,0,NOD   ,4.5
682414,USA003313295073 ,7/14/2025,F     ,D     ,72,0,NOD   ,4.5
682415,USA003313192034 ,7/14/2025,F     ,D     ,65,0,NOD   ,4.5
682416,USA003313192054 ,7/14/2025,F     ,D     ,75,0,NOD   ,4.5
682447,USA003313294903 ,7/16/2025,F     ,D     ,47,0,NOD   ,4.5
682464,USA003313191787 ,7/18/2025,F     ,D     ,90,0,NOD   ,4.5
682465,USA003313294997 ,7/18/2025,F     ,D     ,84,0,NOD   ,4.5
682466,USA003313294959 ,7/18/2025,F     ,D     ,74,0,NOD   ,4.5
682467,USA003313191792 ,7/18/2025,F     ,D     ,87,0,NOD   ,4.5
682469,USA003313191785 ,7/18/2025,F     ,D     ,93,0,NOD   ,4.5
682470,USA003308445805 ,7/18/2025,F     ,D     ,79,0,NOD   ,4.5
682471,USA003308445832 ,7/18/2025,F     ,D     ,79,0,NOD   ,4.5
682472,USA003308445831 ,7/18/2025,F     ,D     ,54,0,NOD   ,4.5
682473,USA003313191831 ,7/18/2025,F     ,D     ,57,0,NOD   ,4.5
682475,USA003313191794 ,7/18/2025,F     ,D     ,100,0,NOD   ,4.5
682476,USA003308445783 ,7/18/2025,F     ,D     ,73,0,NOD   ,4.5
682477,USA003313294965 ,7/18/2025,F     ,D     ,85,0,NOD   ,4.5
682478,USA003313295232 ,7/18/2025,F     ,D     ,65,0,NOD   ,4.5
682479,USA003313294992 ,7/18/2025,F     ,D     ,79,0,NOD   ,4.5
682480,USA003308445483 ,7/18/2025,F     ,D     ,65,0,NOD   ,4.5
786764,USA003312713330 ,6/21/2025,F     ,D     ,72,0,DUD   ,4.5
786765,USA003312713215 ,6/21/2025,F     ,D     ,72,0,DUD   ,4.5
786766,USA003312713357 ,6/21/2025,F     ,D     ,76,0,DUD   ,4.5
786767,USA003312713260 ,6/21/2025,F     ,D     ,62,0,DUD   ,4.5
786768,USA003312713384 ,6/21/2025,F     ,D     ,82,0,DUD   ,4.5
786769,USA003312713312 ,6/21/2025,F     ,D     ,82,0,DUD   ,4.5
786770,USA003312713237 ,6/22/2025,F     ,D     ,78,0,DUD   ,4.5
786772,USA003312713272 ,6/22/2025,F     ,D     ,67,0,DUD   ,4.5
786773,USA003312713211 ,6/22/2025,F     ,D     ,78,0,DUD   ,4.5
786774,USA003312713213 ,6/22/2025,F     ,D     ,74,0,DUD   ,4.5
786792,USA003308447195 ,6/26/2025,F     ,D     ,66,0,DUD   ,4.5
786793,USA003308447199 ,6/27/2025,F     ,D     ,77,0,DUD   ,4.5
786794,USA003308447193 ,6/27/2025,F     ,D     ,72,0,DUD   ,4.5
786795,USA003308447131 ,6/27/2025,F     ,D     ,68,0,DUD   ,4.5
786796,USA003308447204 ,6/27/2025,F     ,D     ,62,0,DUD   ,4.5
786816,USA003308447241 ,7/3/2025,F     ,D     ,73,0,DUD   ,4.5
786818,USA003308447166 ,7/3/2025,F     ,D     ,64,0,DUD   ,4.5
786856,USA003308447230 ,7/14/2025,F     ,D     ,71,0,DUD   ,4.5
786858,USA003308447148 ,7/14/2025,F     ,D     ,69,0,DUD   ,4.5
786859,USA003308447176 ,7/14/2025,F     ,D     ,77,0,DUD   ,4.5
786860,USA003308447172 ,7/14/2025,F     ,D     ,87,0,DUD   ,4.5
786861,USA003308447218 ,7/14/2025,F     ,D     ,66,0,DUD   ,4.5
786865,USA003308447154 ,7/16/2025,F     ,D     ,65,0,DUD   ,4.5
786871,USA003308447105 ,7/17/2025,F     ,D     ,56,0,DUD   ,4.5
786872,USA003308447234 ,7/17/2025,F     ,D     ,66,0,DUD   ,4.5
786873,USA003312713222 ,7/17/2025,F     ,D     ,79,0,DUD   ,4.5
786874,USA003308447205 ,7/18/2025,F     ,D     ,71,0,DUD   ,4.5
786875,USA003308447170 ,7/18/2025,F     ,D     ,71,0,DUD   ,4.5
786876,USA003308447168 ,7/18/2025,F     ,D     ,85,0,DUD   ,4.5
786877,USA003308447126 ,7/18/2025,F     ,D     ,67,0,DUD   ,4.5
786878,USA003308447161 ,7/18/2025,F     ,D     ,70,0,DUD   ,4.5
786879,USA003308447160 ,7/19/2025,F     ,D     ,70,0,DUD   ,4.5
786880,USA003308447221 ,7/18/2025,F     ,D     ,68,0,DUD   ,4.5
786906,USA003308447023 ,7/24/2025,F     ,D     ,70,0,DUD   ,4.5
786907,USA003308447177 ,7/24/2025,F     ,D     ,95,0,DUD   ,4.5
786908,USA003308447120 ,7/25/2025,F     ,D     ,75,0,DUD   ,4.5
796460,USA003308394777 ,6/21/2025,F     ,D     ,83,0,WRD   ,4.5
796461,USA003308394774 ,6/21/2025,F     ,D     ,73,0,WRD   ,4.5
796463,USA003308394569 ,6/22/2025,F     ,D     ,62,0,WRD   ,4.5
796464,USA003308394684 ,6/22/2025,F     ,D     ,68,0,WRD   ,4.5
796465,USA003308394675 ,6/22/2025,F     ,D     ,70,0,WRD   ,4.5
796483,USA003308394712 ,7/3/2025,F     ,D     ,73,0,WRD   ,4.5
796484,USA003308394576 ,7/3/2025,F     ,D     ,77,0,WRD   ,4.5
796485,USA003308394609 ,7/3/2025,F     ,D     ,64,0,WRD   ,4.5
796487,USA003308394634 ,7/3/2025,F     ,D     ,62,0,WRD   ,4.5
796488,USA003308394643 ,7/4/2025,F     ,D     ,63,0,WRD   ,4.5
796489,USA003308394708 ,7/4/2025,F     ,D     ,67,0,WRD   ,4.5
796491,USA003308394592 ,7/4/2025,F     ,D     ,86,0,WRD   ,4.5
796492,USA003308394685 ,7/4/2025,F     ,D     ,69,0,WRD   ,4.5
796493,USA003308394809 ,7/4/2025,F     ,D     ,74,0,WRD   ,4.5
796494,USA003308394595 ,7/4/2025,F     ,D     ,75,0,WRD   ,4.5
796495,USA003308394719 ,7/4/2025,F     ,D     ,81,0,WRD   ,4.5
801989,USA003307849932 ,6/19/2025,F     ,D     ,57,0,CLD   ,4.5
801997,USA003307850054 ,6/20/2025,F     ,D     ,83,0,CLD   ,4.5
801998,USA003307849995 ,6/21/2025,F     ,D     ,77,0,CLD   ,4.5
801999,USA003307849958 ,6/21/2025,F     ,D     ,75,0,CLD   ,4.5
802000,USA003307849902 ,6/21/2025,F     ,D     ,74,0,CLD   ,4.5
804798,USA003291101209 ,6/21/2025,F     ,D     ,77,0,MSD   ,4.5
804799,USA003305189492 ,6/21/2025,F     ,D     ,70,0,MSD   ,4.5
804800,USA003302974096 ,6/21/2025,F     ,D     ,75,0,MSD   ,4.5
804802,USA003305189300 ,6/21/2025,F     ,D     ,75,0,MSD   ,4.5
804803,USA003305189433 ,6/21/2025,F     ,D     ,77,0,MSD   ,4.5
804805,USA003305188654 ,6/22/2025,F     ,D     ,80,0,MSD   ,4.5
804806,USA003305189272 ,6/22/2025,F     ,D     ,72,0,MSD   ,4.5
804807,USA003296977683 ,6/22/2025,F     ,D     ,62,0,MSD   ,4.5
804812,USA003305189031 ,6/22/2025,F     ,D     ,64,0,MSD   ,4.5
804813,USA003302974517 ,6/22/2025,F     ,D     ,79,0,MSD   ,4.5
804814,USA003305189432 ,6/22/2025,F     ,D     ,69,0,MSD   ,4.5
804815,USA003302973969 ,6/22/2025,F     ,D     ,78,0,MSD   ,4.5
804817,USA003305189165 ,6/22/2025,F     ,D     ,83,0,MSD   ,4.5
804818,USA003305188626 ,6/22/2025,F     ,D     ,91,0,MSD   ,4.5
804819,USA003305188995 ,6/22/2025,F     ,D     ,75,0,MSD   ,4.5
804820,USA003272263144 ,6/22/2025,F     ,D     ,63,0,MSD   ,4.5
804821,USA003305188934 ,6/22/2025,F     ,D     ,78,0,MSD   ,4.5
804822,USA003296977043 ,6/22/2025,F     ,D     ,69,0,MSD   ,4.5
804845,USA003305189144 ,6/26/2025,F     ,D     ,89,0,MSD   ,4.5
804847,USA003305189155 ,6/26/2025,F     ,D     ,71,0,MSD   ,4.5
804848,USA003305189014 ,6/26/2025,F     ,D     ,100,0,MSD   ,4.5
804849,USA003302974141 ,6/26/2025,F     ,D     ,59,0,MSD   ,4.5
804856,USA003305188615 ,6/27/2025,F     ,D     ,68,0,MSD   ,4.5
804857,USA003305189271 ,6/27/2025,F     ,D     ,64,0,MSD   ,4.5
804858,USA003305189078 ,6/27/2025,F     ,D     ,57,0,MSD   ,4.5
804859,USA003302974308 ,6/27/2025,F     ,D     ,69,0,MSD   ,4.5
804860,USA003305189264 ,6/27/2025,F     ,D     ,73,0,MSD   ,4.5
804861,USA003305189146 ,6/27/2025,F     ,D     ,73,0,MSD   ,4.5
804862,USA003305188675 ,6/27/2025,F     ,D     ,82,0,MSD   ,4.5
804863,USA003305189312 ,6/27/2025,F     ,D     ,70,0,MSD   ,4.5
804864,USA003305189108 ,6/27/2025,F     ,D     ,65,0,MSD   ,4.5
804865,USA003305189447 ,6/27/2025,F     ,D     ,69,0,MSD   ,4.5
804866,USA003305189391 ,6/27/2025,F     ,D     ,58,0,MSD   ,4.5
804867,USA003305189133 ,6/27/2025,F     ,D     ,67,0,MSD   ,4.5
804868,USA003305189278 ,6/27/2025,F     ,D     ,68,0,MSD   ,4.5
804869,USA003305189539 ,6/27/2025,F     ,D     ,67,0,MSD   ,4.5
804871,USA003305189161 ,6/28/2025,F     ,D     ,68,0,MSD   ,4.5
804872,USA003305189261 ,6/28/2025,F     ,D     ,82,0,MSD   ,4.5
804873,USA003305189554 ,6/28/2025,F     ,D     ,75,0,MSD   ,4.5
804925,USA003305189288 ,7/2/2025,F     ,D     ,79,0,MSD   ,4.5
804928,USA003305188605 ,7/3/2025,F     ,D     ,81,0,MSD   ,4.5
804930,USA003302974181 ,7/3/2025,F     ,D     ,86,0,MSD   ,4.5
809331,USA003306516006 ,6/20/2025,F     ,D     ,70,0,LOD   ,4.5
809333,USA003310398395 ,6/20/2025,F     ,D     ,59,0,LOD   ,4.5
809336,USA003310398145 ,6/20/2025,F     ,D     ,64,0,LOD   ,4.5
809338,USA003306516106 ,6/20/2025,F     ,D     ,67,0,LOD   ,4.5
809340,USA003306515923 ,6/20/2025,F     ,D     ,77,0,LOD   ,4.5
809341,USA003310398433 ,6/20/2025,F     ,D     ,73,0,LOD   ,4.5
809342,USA003306515901 ,6/21/2025,F     ,D     ,83,0,LOD   ,4.5
809343,USA003306515907 ,6/21/2025,F     ,D     ,73,0,LOD   ,4.5
809344,USA003306515940 ,6/21/2025,F     ,D     ,65,0,LOD   ,4.5
809345,USA003310398411 ,6/21/2025,F     ,D     ,73,0,LOD   ,4.5
809346,USA003310398136 ,6/21/2025,F     ,D     ,62,0,LOD   ,4.5
809347,USA003306515871 ,6/21/2025,F     ,D     ,77,0,LOD   ,4.5
809348,USA003310398403 ,6/21/2025,F     ,D     ,72,0,LOD   ,4.5
809350,USA003306515992 ,6/21/2025,F     ,D     ,80,0,LOD   ,4.5
809351,USA003310398462 ,6/21/2025,F     ,D     ,65,0,LOD   ,4.5
809352,USA003310398308 ,6/21/2025,F     ,D     ,90,0,LOD   ,4.5
809354,USA003310398548 ,6/21/2025,F     ,D     ,81,0,LOD   ,4.5
809355,USA003310398380 ,6/22/2025,F     ,D     ,64,0,LOD   ,4.5
809356,USA003306516069 ,6/22/2025,F     ,D     ,87,0,LOD   ,4.5
809357,USA003306515971 ,6/22/2025,F     ,D     ,81,0,LOD   ,4.5
809358,USA003310398572 ,6/22/2025,F     ,D     ,64,0,LOD   ,4.5
809359,USA003310398110 ,6/22/2025,F     ,D     ,72,0,LOD   ,4.5
809360,USA003306515945 ,6/22/2025,F     ,D     ,75,0,LOD   ,4.5
809361,USA003310398586 ,6/22/2025,F     ,D     ,57,0,LOD   ,4.5
809364,USA003310398568 ,6/22/2025,F     ,D     ,79,0,LOD   ,4.5
809365,USA003310398202 ,6/22/2025,F     ,D     ,84,0,LOD   ,4.5
809367,USA003310398518 ,6/22/2025,F     ,D     ,65,0,LOD   ,4.5
809395,USA003306515986 ,6/26/2025,F     ,D     ,63,0,LOD   ,4.5
809396,USA003306515924 ,6/26/2025,F     ,D     ,64,0,LOD   ,4.5
809398,USA003306516014 ,6/26/2025,F     ,D     ,44,0,LOD   ,4.5
