Cow,CalfID,Bdat,FOO,DatMOC,IceCube,DatON,TimeON,TimeONp,TRT,ToTCC,TimetoTCC,TimetoTCCp,Section,ArrTCC,TimeArrTCC,TimeArrTCCp,TimeTrip,DatOFF,TimeOFF,TimeOFFp
100,844309,6/26/25,CAD   , 6/27/25 ,1687,6/27/25,15:00,20:00,DF4.5,6/30/25,8:24,13:24,H ,7/1/25,10:01,15:01,25.6,7/3/25,9:00,14:00
101,812052,6/26/25,CLD   , 6/27/25 ,1714,6/27/25,15:00,20:00,DF4.5,6/30/25,8:05,13:05,C ,7/1/25,10:14,15:14,26.2,7/3/25,9:00,14:00
102,812050,6/26/25,CLD   , 6/27/25 ,1729,6/27/25,15:00,20:00,DF4.5,6/30/25,8:02,13:02,D ,7/1/25,10:16,15:16,26.2,7/3/25,9:00,14:00
103,682106,6/26/25,NOD   , 6/27/25 ,1735,6/27/25,15:00,20:00,DF4.5,6/30/25,8:10,13:10,F ,7/1/25,10:06,15:06,25.9,7/3/25,9:00,14:00
104,814176,6/26/25,WAD   , 6/27/25 ,1741,6/27/25,15:00,20:00,DF4.5,6/30/25,8:10,13:10,F ,7/1/25,10:05,15:05,25.9,7/3/25,9:00,14:00
105,820165,6/26/25,WSD   , 6/27/25 ,1747,6/27/25,15:00,20:00,DF4.5,6/30/25,8:05,13:05,C ,7/1/25,10:14,15:14,26.2,7/3/25,9:00,14:00
106,814171,6/26/25,WAD   , 6/27/25 ,1748,6/27/25,15:00,20:00,DF4.5,6/30/25,8:21,13:21,G ,7/1/25,10:04,15:04,25.7,7/3/25,9:00,14:00
107,820166,6/26/25,WSD   , 6/27/25 ,1749,6/27/25,15:00,20:00,DF4.5,6/30/25,8:01,13:01,B ,7/1/25,10:17,15:17,26.3,7/3/25,9:00,14:00
108,820175,6/27/25,WSD   , 6/27/25 ,1754,6/27/25,15:00,20:00,DF4.5,6/30/25,8:06,13:06,C ,7/1/25,10:14,15:14,26.1,7/3/25,9:00,14:00
109,804847,6/26/25,MSD   , 6/27/25 ,1765,6/27/25,15:00,20:00,DF4.5,6/30/25,8:24,13:24,H ,7/1/25,10:01,15:01,25.6,7/3/25,9:00,14:00
110,682102,6/26/25,NOD   , 6/27/25 ,1769,6/27/25,15:00,20:00,DF4.5,6/30/25,8:11,13:11,G ,7/1/25,10:03,15:03,25.9,7/3/25,9:00,14:00
111,812049,6/26/25,CLD   , 6/27/25 ,1772,6/27/25,15:00,20:00,DF4.5,6/30/25,8:02,13:02,D ,7/1/25,10:16,15:16,26.2,7/3/25,9:00,14:00
112,682104,6/26/25,NOD   , 6/27/25 ,1777,6/27/25,15:00,20:00,DF4.5,6/30/25,8:11,13:11,G ,7/1/25,10:03,15:03,25.9,7/3/25,9:00,14:00
113,817296,6/26/25,GAD   , 6/27/25 ,1778,6/27/25,15:00,20:00,DF4.5,6/30/25,8:03,13:03,C ,7/1/25,10:15,15:15,26.2,7/3/25,9:00,14:00
114,820183,6/27/25,WSD   , 6/27/25 ,1783,6/27/25,15:00,20:00,DF4.5,6/30/25,8:03,13:03,C ,7/1/25,10:14,15:14,26.2,7/3/25,9:00,14:00
115,682112,6/26/25,NOD   , 6/27/25 ,1784,6/27/25,15:00,20:00,DF4.5,6/30/25,8:08,13:08,F ,7/1/25,10:06,15:06,26.0,7/3/25,9:00,14:00
