"","Cow","hoursfrom","lyingm","standingm","steps","mi","transitions","Date","Time","End","Steps","Motion Index","Lying Time","Standing Time","Transitions","Transitions Up","Transitions Down","CalfID","Bdat","FOO","BRTHW","stp","Breed2","diaload","diaARR","TRT","OneLoad","DatMOC","IceCube","DatON","TimeONp","ToTCC","TimetoTCCp","Section","ArrTCC","TimeArrTCCp","TimeTrip","DatOFF","TimeOFFp","PN1a","DIA1","D30","P30","P60","datetime","datetimeon","datetimeoff","match_flag","tfship","timecat"
"1",100,-12,52.5666666666667,7.43333333333333,1,22,1,2025-06-29,23:38:00,"6/29/2025 23:53",0,13,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-29 23:38:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-48,"pre"
"2",100,-11,46.6,13.4,5,45,5,2025-06-30,02:21:00,"6/30/2025 2:36",2,12,00:06:06,00:08:54,1,0,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 02:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-44,"pre"
"3",100,-10,52.6833333333333,7.31666666666667,2,18,2,2025-06-30,03:21:00,"6/30/2025 3:36",0,0,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 03:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-40,"pre"
"4",100,-9,60,0,0,4,0,2025-06-30,04:21:00,"6/30/2025 4:36",0,1,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 04:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-36,"pre"
"5",100,-8,58.6,1.4,0,0,1,2025-06-30,05:21:00,"6/30/2025 5:36",0,0,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 05:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-32,"pre"
"6",100,-7,58.0333333333333,1.96666666666667,1,10,1,2025-06-30,06:21:00,"6/30/2025 6:36",1,7,00:13:02,00:01:58,1,0,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 06:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-28,"pre"
"7",100,-6,60,0,0,9,0,2025-06-30,07:21:00,"6/30/2025 7:36",0,0,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 07:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-24,"pre"
"8",100,-5,48.3333333333333,11.6666666666667,9,58,2,2025-06-30,08:21:00,"6/30/2025 8:36",0,2,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 08:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-20,"pre"
"9",100,-4,27.1166666666667,32.8833333333333,19,110,5,2025-06-30,09:21:00,"6/30/2025 9:36",0,1,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 09:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-16,"pre"
"10",100,-3,26.5333333333333,33.4666666666667,43,201,5,2025-06-30,10:21:00,"6/30/2025 10:36",2,21,00:02:31,00:12:29,4,2,2,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 10:21:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-12,"pre"
