"","ID","EID.x","BIRTH","sex","BREED","Breed2","BRTHW","SERUM","SORCE","TRL2","LOADT","...1","source","EID.y","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_DIED1","Remark_DIED1"
"1",1412174,"USA003306584406","6/16/2025","F","B","B",77,0,"LOD",3.5,"6/23/2025",14430,"dvcnew_wide","USA003306584406",2025-07-27,"RES6X100",2025-08-02,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1424830,"USA003306610461","6/17/2025","F","B","B",84,0,"WRD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1431929,"USA003298689529","6/17/2025","M","B","B",109,0,"MAD",3,"6/23/2025",25351,"dvcnew_wide","USA003298689529",2025-07-21,"RES6X100",2025-07-27,"EXCE-1.5CC",2025-09-22,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,2025-11-16,"INFECTION"
"4",1451241,"USA003313530819","6/17/2025","F","B","B",80,0,"D45",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",796450,"USA003308394665","6/18/2025","F","D","D",69,0,"WRD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",809302,"USA003306516063","6/18/2025","F","D","D",95,0,"LOD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",809311,"USA003310398214","6/18/2025","F","D","D",65,0,"LOD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",809312,"USA003310398279","6/18/2025","F","D","D",73,0,"LOD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",809313,"USA003306516104","6/18/2025","F","D","D",84,0,"LOD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",813275,"USA003308443460","6/18/2025","F","D","D",69,0,"SWD",3,"6/23/2025",48916,"tccnew_wide","USA003308443460",NA,NA,NA,NA,NA,NA,2025-06-29,"ADDPACK",NA,NA,NA,NA,NA,NA,NA,NA
"11",815136,"USA003307782391","6/18/2025","F","D","D",78,0,"RVD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",815137,"USA003305240014","6/18/2025","F","D","D",83,0,"RVD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",844211,"USA003313295231","6/18/2025","F","D","D",75,0,"CAD",3,"6/23/2025",54703,"tccnew_wide","USA003313295231",NA,NA,NA,NA,NA,NA,2025-06-29,"ADDPACK",NA,NA,NA,NA,NA,NA,NA,NA
"14",1397877,"USA003298711286","6/18/2025","F","B","B",68,0,"SWD",3.5,"6/23/2025",8421,"dvcnew_wide","USA003298711286",2025-08-02,"RES6X100",2025-08-07,"EXCE-1.5CC",2025-09-22,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1397880,"USA003298711536","6/18/2025","F","B","B",77,0,"SWD",3.5,"6/23/2025",8424,"dvcnew_wide","USA003298711536",2025-09-25,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1409918,"USA003297154066","6/18/2025","M","B","B",71,0,"CAD",3,"6/23/2025",12934,"dvcnew_wide","USA003297154066",2025-09-20,"RES6X100",2025-09-25,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1409920,"USA003295912347","6/18/2025","M","B","B",107,0,"CAD",3,"6/23/2025",12936,"dvcnew_wide","USA003295912347",2025-09-26,"RES6X100",2025-10-06,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,2025-09-26,"MIN OIL",NA,NA,NA,NA
"18",1410489,"USA003306591154","6/18/2025","F","B","B",84,0,"DUD",3.5,"6/23/2025",13352,"dvcnew_wide","USA003306591154",2025-10-20,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1412206,"USA003306584624","6/18/2025","M","B","B",106,0,"LOD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1412207,"USA003306584417","6/18/2025","M","B","B",116,0,"LOD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1412211,"USA003306584314","6/18/2025","F","B","B",82,0,"LOD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1412212,"USA003306585185","6/18/2025","M","B","B",111,0,"LOD",3,"6/23/2025",14453,"dvcnew_wide","USA003306585185",2025-08-30,"RES6X100",2025-09-04,"EXCE-1.5CC",NA,NA,2025-06-28,"BISMUTH",NA,NA,NA,NA,NA,NA,NA,NA
"23",1412213,"USA003306584950","6/18/2025","M","B","B",100,0,"LOD",3,"6/23/2025",14454,"dvcnew_wide","USA003306584950",2025-09-28,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1412214,"USA003306584916","6/18/2025","M","B","B",88,0,"LOD",3,"6/23/2025",14455,"dvcnew_wide","USA003306584916",2025-09-09,"RES6X100",2025-09-14,"EXCE-1.5CC",2025-09-28,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1412215,"USA003306584931","6/18/2025","M","B","B",105,0,"LOD",3,"6/23/2025",14456,"dvcnew_wide","USA003306584931",2025-10-06,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1412216,"USA003306584933","6/18/2025","F","B","B",95,0,"LOD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1412217,"USA003306584442","6/18/2025","F","B","B",107,0,"LOD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1412218,"USA003306584450","6/18/2025","F","B","B",86,0,"LOD",3.5,"6/23/2025",14457,"dvcnew_wide","USA003306584450",2025-09-20,"RES6X100",2025-10-14,"EXCE-1.5CC",NA,NA,2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",2025-09-20,"MIN OIL",NA,NA,NA,NA
"29",1412219,"USA003306584942","6/18/2025","F","B","B",92,0,"LOD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1412220,"USA003306584315","6/18/2025","F","B","B",84,0,"LOD",3.5,"6/23/2025",14458,"dvcnew_wide","USA003306584315",NA,NA,NA,NA,NA,NA,2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA
"31",1415301,"USA003311868150","6/18/2025","F","B","B",71,0,"WSD",3.5,"6/23/2025",16352,"dvcnew_wide","USA003311868150",2025-10-09,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1416519,"USA003295910879","6/18/2025","F","B","B",83,0,"WAD",3.5,"6/23/2025",17111,"dvcnew_wide","USA003295910879",2025-09-24,"RES6X100",2025-10-11,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1416521,"USA003306581939","6/18/2025","F","B","B",90,0,"WAD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1416525,"USA003306581603","6/18/2025","F","B","B",100,0,"WAD",3.5,"6/23/2025",17115,"dvcnew_wide","USA003306581603",2025-08-24,"RES6X100",2025-08-29,"EXCE-1.5CC",2025-09-22,"RES6X100",2025-06-28,"ENRO+ELECT",2025-06-29,"HYPERTON",NA,NA,NA,NA,NA,NA
"35",1416526,"USA003306581645","6/18/2025","F","B","B",118,0,"WAD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1416527,"USA003306581521","6/18/2025","F","B","B",89,0,"WAD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1416528,"USA003306581608","6/18/2025","F","B","B",97,0,"WAD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1416529,"USA003306581910","6/18/2025","F","B","B",85,0,"WAD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1416530,"USA003306581552","6/18/2025","F","B","B",90,0,"WAD",3.5,"6/23/2025",17116,"dvcnew_wide","USA003306581552",2025-09-22,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1416531,"USA003295911241","6/18/2025","F","B","B",79,0,"WAD",3.5,"6/23/2025",17117,"dvcnew_wide","USA003295911241",2025-07-26,"RES6X100",2025-07-31,"EXCE-1.5CC",2025-09-30,"EXCE-1.5CC",2025-06-26,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,NA,NA
"41",1416534,"USA003306582221","6/18/2025","F","B","B",95,0,"WAD",3.5,"6/23/2025",17119,"dvcnew_wide","USA003306582221",2025-10-11,"EXCE-1.5CC",2025-10-11,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1424831,"USA003306610458","6/18/2025","F","B","B",95,0,"WRD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1424833,"USA003306610460","6/18/2025","M","B","B",82,0,"WRD",3,"6/23/2025",20901,"dvcnew_wide","USA003306610460",2025-09-19,"RES6X100",2025-09-25,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1424834,"USA003306610467","6/18/2025","F","B","B",98,0,"WRD",3.5,"6/23/2025",20902,"dvcnew_wide","USA003306610467",2025-09-30,"RES6X100",2025-09-30,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1424835,"USA003306610468","6/18/2025","M","B","B",85,0,"WRD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1424836,"USA003306610475","6/18/2025","F","B","B",68,0,"WRD",3.5,"6/23/2025",20903,"dvcnew_wide","USA003306610475",2025-08-07,"RES6X100",2025-08-12,"EXCE-1.5CC",2025-09-24,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1424837,"USA003306610435","6/18/2025","M","B","B",104,0,"WRD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1424841,"USA003306610633","6/18/2025","F","B","B",88,0,"WRD",3.5,"6/23/2025",20906,"dvcnew_wide","USA003306610633",2025-10-09,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1424842,"USA003306610641","6/18/2025","M","B","B",99,0,"WRD",3,"6/23/2025",20907,"dvcnew_wide","USA003306610641",2025-07-19,"RES6X100",2025-07-24,"EXCE-1.5CC",2025-08-20,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1424844,"USA003306610646","6/18/2025","M","B","B",95,0,"WRD",3,"6/23/2025",20909,"dvcnew_wide","USA003306610646",2025-09-22,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1424845,"USA003306610630","6/18/2025","M","B","B",80,0,"WRD",3,"6/23/2025",20910,"dvcnew_wide","USA003306610630",2025-09-13,"RES6X100",2025-09-22,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1424847,"USA003306610464","6/18/2025","M","B","B",78,0,"WRD",3,"6/23/2025",20911,"dvcnew_wide","USA003306610464",2025-09-13,"RES6X100",2025-09-22,"EXCE-1.5CC",2025-09-22,"RES6X100",2025-07-01,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,NA,NA
"53",1424848,"USA003306610634","6/18/2025","M","B","B",80,0,"WRD",3,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1424849,"USA003306610648","6/18/2025","F","B","B",80,0,"WRD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1426302,"USA003306586376","6/18/2025","F","B","B",86,0,"MSD",3.5,"6/23/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
