"","Cow","hour","Lying","Standing","Steps","LB","MI","FOO","TRT","OneLoad","timecat"
"1",100,-24,41.8166666666667,18.1833333333333,6,4,45,"CAD","DF4.5",1,"pre"
"2",100,-23,55.9166666666667,4.08333333333333,16,2,74,"CAD","DF4.5",1,"pre"
"3",100,-22,55.55,4.45,4,2,17,"CAD","DF4.5",1,"pre"
"4",100,-21,45.1333333333333,14.8666666666667,9,4,46,"CAD","DF4.5",1,"pre"
"5",100,-20,41.5333333333333,18.4666666666667,13,3,69,"CAD","DF4.5",1,"pre"
"6",100,-19,49,11,46,3,241,"CAD","DF4.5",1,"pre"
"7",100,-18,36.35,23.65,11,6,58,"CAD","DF4.5",1,"pre"
"8",100,-17,48.1166666666667,11.8833333333333,1,2,8,"CAD","DF4.5",1,"pre"
"9",100,-16,60,0,0,0,1,"CAD","DF4.5",1,"pre"
"10",100,-15,60,0,0,0,3,"CAD","DF4.5",1,"pre"
"11",100,-14,52.45,7.55,3,2,32,"CAD","DF4.5",1,"pre"
"12",100,-13,60,0,8,0,56,"CAD","DF4.5",1,"pre"
"13",100,-12,52.5666666666667,7.43333333333333,1,1,22,"CAD","DF4.5",1,"pre"
"14",100,-11,46.6,13.4,5,5,45,"CAD","DF4.5",1,"pre"
"15",100,-10,52.6833333333333,7.31666666666667,2,2,18,"CAD","DF4.5",1,"pre"
"16",100,-9,60,0,0,0,4,"CAD","DF4.5",1,"pre"
"17",100,-8,58.6,1.4,0,1,0,"CAD","DF4.5",1,"pre"
"18",100,-7,58.0333333333333,1.96666666666667,1,1,10,"CAD","DF4.5",1,"pre"
"19",100,-6,60,0,0,0,9,"CAD","DF4.5",1,"pre"
"20",100,-5,48.3333333333333,11.6666666666667,9,2,58,"CAD","DF4.5",1,"pre"
"21",100,-4,27.1166666666667,32.8833333333333,19,5,110,"CAD","DF4.5",1,"pre"
"22",100,-3,26.5333333333333,33.4666666666667,43,5,201,"CAD","DF4.5",1,"pre"
"23",100,-2,46.3333333333333,13.6666666666667,3,4,24,"CAD","DF4.5",1,"pre"
"24",100,-1,9.45,50.55,95,3,459,"CAD","DF4.5",1,"pre"
"25",100,0,2.15,12.85,14,2,89,"CAD","DF4.5",1,"during"
"26",100,1,40.8,19.2,30,9,274,"CAD","DF4.5",1,"during"
"27",100,2,60,0,0,0,40,"CAD","DF4.5",1,"during"
"28",100,3,38.4666666666667,21.5333333333333,50,4,277,"CAD","DF4.5",1,"during"
"29",100,4,48.95,11.05,6,2,56,"CAD","DF4.5",1,"during"
"30",100,5,37.8,22.2,39,4,271,"CAD","DF4.5",1,"during"
"31",100,6,47.9333333333333,12.0666666666667,14,4,162,"CAD","DF4.5",1,"during"
"32",100,7,48.6166666666667,11.3833333333333,8,2,56,"CAD","DF4.5",1,"during"
"33",100,8,60,0,63,0,354,"CAD","DF4.5",1,"during"
"34",100,9,60,0,23,0,174,"CAD","DF4.5",1,"during"
"35",100,10,60,0,25,0,154,"CAD","DF4.5",1,"during"
"36",100,11,60,0,34,0,208,"CAD","DF4.5",1,"during"
"37",100,12,60,0,23,0,128,"CAD","DF4.5",1,"during"
"38",100,13,60,0,0,0,71,"CAD","DF4.5",1,"during"
"39",100,14,48.0833333333333,11.9166666666667,1,5,72,"CAD","DF4.5",1,"during"
"40",100,15,31.3166666666667,28.6833333333333,31,3,184,"CAD","DF4.5",1,"during"
"41",100,16,52.1833333333333,7.81666666666667,27,6,177,"CAD","DF4.5",1,"during"
"42",100,17,60,0,0,0,47,"CAD","DF4.5",1,"during"
"43",100,18,60,0,0,0,23,"CAD","DF4.5",1,"during"
"44",100,19,53.85,6.15,10,2,101,"CAD","DF4.5",1,"during"
"45",100,20,22.6333333333333,37.3666666666667,31,6,235,"CAD","DF4.5",1,"during"
"46",100,21,27.1166666666667,32.8833333333333,34,3,318,"CAD","DF4.5",1,"during"
"47",100,22,30.7666666666667,29.2333333333333,27,3,161,"CAD","DF4.5",1,"during"
"48",100,23,50.3333333333333,9.66666666666667,10,1,90,"CAD","DF4.5",1,"during"
"49",100,24,43.05,16.95,38,3,476,"CAD","DF4.5",1,"during"
"50",100,25,24.8833333333333,35.1166666666667,46,3,261,"CAD","DF4.5",1,"during"
"51",100,26,36.95,23.05,60,4,300,"CAD","DF4.5",1,"during"
"52",100,27,51.45,8.55,7,2,47,"CAD","DF4.5",1,"during"
"53",100,28,58.55,1.45,2,1,14,"CAD","DF4.5",1,"during"
"54",100,29,43.5666666666667,16.4333333333333,7,5,42,"CAD","DF4.5",1,"post"
"55",100,30,36.6333333333333,23.3666666666667,28,5,198,"CAD","DF4.5",1,"post"
"56",100,31,53.95,6.05,49,4,288,"CAD","DF4.5",1,"post"
"57",100,32,60,0,4,0,24,"CAD","DF4.5",1,"post"
"58",100,33,60,0,7,0,35,"CAD","DF4.5",1,"post"
"59",100,34,60,0,18,0,107,"CAD","DF4.5",1,"post"
"60",100,35,60,0,0,0,6,"CAD","DF4.5",1,"post"
"61",100,36,60,0,1,0,9,"CAD","DF4.5",1,"post"
"62",100,37,54.4,5.6,1,2,4,"CAD","DF4.5",1,"post"
"63",100,38,55.5,4.5,2,2,16,"CAD","DF4.5",1,"post"
"64",100,39,55.8166666666667,4.18333333333333,0,2,12,"CAD","DF4.5",1,"post"
"65",100,40,60,0,0,0,3,"CAD","DF4.5",1,"post"
"66",100,41,23.4,36.6,13,4,74,"CAD","DF4.5",1,"post"
"67",100,42,57.05,2.95,0,2,6,"CAD","DF4.5",1,"post"
"68",100,43,20.1666666666667,39.8333333333333,62,3,356,"CAD","DF4.5",1,"post"
"69",100,44,21.7666666666667,38.2333333333333,99,5,571,"CAD","DF4.5",1,"post"
"70",100,45,55.8166666666667,4.18333333333333,5,2,30,"CAD","DF4.5",1,"post"
"71",100,46,47.9833333333333,12.0166666666667,14,6,108,"CAD","DF4.5",1,"post"
"72",100,47,60,0,0,0,15,"CAD","DF4.5",1,"post"
"73",100,48,60,0,0,0,3,"CAD","DF4.5",1,"post"
"74",100,49,58.8666666666667,1.13333333333333,0,2,47,"CAD","DF4.5",1,"post"
"75",100,50,60,0,0,0,0,"CAD","DF4.5",1,"post"
"76",101,-24,56.3166666666667,3.68333333333333,5,2,56,"CLD","DF4.5",1,"pre"
"77",101,-23,60,0,0,0,11,"CLD","DF4.5",1,"pre"
"78",101,-22,60,0,0,0,3,"CLD","DF4.5",1,"pre"
"79",101,-21,47.55,12.45,10,2,65,"CLD","DF4.5",1,"pre"
"80",101,-20,37.3333333333333,22.6666666666667,63,2,313,"CLD","DF4.5",1,"pre"
"81",101,-19,47.5,12.5,23,2,124,"CLD","DF4.5",1,"pre"
"82",101,-18,35.0833333333333,24.9166666666667,26,2,157,"CLD","DF4.5",1,"pre"
"83",101,-17,60,0,0,0,0,"CLD","DF4.5",1,"pre"
"84",101,-16,47.55,12.45,14,2,75,"CLD","DF4.5",1,"pre"
"85",101,-15,60,0,0,0,4,"CLD","DF4.5",1,"pre"
"86",101,-14,60,0,0,0,8,"CLD","DF4.5",1,"pre"
"87",101,-13,47.95,12.05,17,2,98,"CLD","DF4.5",1,"pre"
"88",101,-12,50.1333333333333,9.86666666666667,13,2,72,"CLD","DF4.5",1,"pre"
"89",101,-11,54.35,5.65,10,2,51,"CLD","DF4.5",1,"pre"
"90",101,-10,50.9833333333333,9.01666666666667,9,2,71,"CLD","DF4.5",1,"pre"
"91",101,-9,47.75,12.25,7,2,51,"CLD","DF4.5",1,"pre"
"92",101,-8,60,0,0,0,0,"CLD","DF4.5",1,"pre"
"93",101,-7,53.1666666666667,6.83333333333333,6,2,43,"CLD","DF4.5",1,"pre"
"94",101,-6,60,0,0,0,5,"CLD","DF4.5",1,"pre"
"95",101,-5,60,0,0,0,0,"CLD","DF4.5",1,"pre"
"96",101,-4,27.1666666666667,32.8333333333333,24,4,146,"CLD","DF4.5",1,"pre"
"97",101,-3,28.5666666666667,31.4333333333333,34,1,212,"CLD","DF4.5",1,"pre"
"98",101,-2,53.2166666666667,6.78333333333333,10,3,57,"CLD","DF4.5",1,"pre"
"99",101,-1,60,0,0,0,7,"CLD","DF4.5",1,"pre"
"100",101,0,4.9,10.1,73,1,354,"CLD","DF4.5",1,"during"
"101",101,1,0.433333333333333,59.5666666666667,254,4,1362,"CLD","DF4.5",1,"during"
"102",101,2,0,60,183,0,979,"CLD","DF4.5",1,"during"
"103",101,3,14.3833333333333,45.6166666666667,91,1,459,"CLD","DF4.5",1,"during"
"104",101,4,39.3333333333333,20.6666666666667,11,2,93,"CLD","DF4.5",1,"during"
"105",101,5,60,0,0,0,33,"CLD","DF4.5",1,"during"
"106",101,6,23.6666666666667,36.3333333333333,62,3,301,"CLD","DF4.5",1,"during"
"107",101,7,28.4333333333333,31.5666666666667,54,2,300,"CLD","DF4.5",1,"during"
"108",101,8,47.3,12.7,9,1,64,"CLD","DF4.5",1,"during"
"109",101,9,34.1166666666667,25.8833333333333,52,2,283,"CLD","DF4.5",1,"during"
"110",101,10,40.9,19.1,17,2,98,"CLD","DF4.5",1,"during"
"111",101,11,51.1666666666667,8.83333333333333,15,4,163,"CLD","DF4.5",1,"during"
"112",101,12,40.3333333333333,19.6666666666667,30,1,193,"CLD","DF4.5",1,"during"
"113",101,13,35.8833333333333,24.1166666666667,42,1,176,"CLD","DF4.5",1,"during"
"114",101,14,25.8833333333333,34.1166666666667,79,2,427,"CLD","DF4.5",1,"during"
"115",101,15,58.0833333333333,1.91666666666667,2,2,37,"CLD","DF4.5",1,"during"
"116",101,16,56.6166666666667,3.38333333333333,4,2,46,"CLD","DF4.5",1,"during"
"117",101,17,35.9333333333333,24.0666666666667,58,4,300,"CLD","DF4.5",1,"during"
"118",101,18,60,0,0,0,63,"CLD","DF4.5",1,"during"
"119",101,19,58.4333333333333,1.56666666666667,4,2,39,"CLD","DF4.5",1,"during"
"120",101,20,38.5333333333333,21.4666666666667,74,4,350,"CLD","DF4.5",1,"during"
"121",101,21,56.0333333333333,3.96666666666667,8,2,79,"CLD","DF4.5",1,"during"
"122",101,22,60,0,0,0,92,"CLD","DF4.5",1,"during"
"123",101,23,60,0,0,0,49,"CLD","DF4.5",1,"during"
"124",101,24,36.1666666666667,23.8333333333333,66,2,351,"CLD","DF4.5",1,"during"
"125",101,25,60,0,0,0,13,"CLD","DF4.5",1,"during"
"126",101,26,17.4,42.6,134,2,577,"CLD","DF4.5",1,"during"
"127",101,27,22.7333333333333,37.2666666666667,48,2,299,"CLD","DF4.5",1,"during"
"128",101,28,32.2333333333333,27.7666666666667,74,1,414,"CLD","DF4.5",1,"during"
"129",101,29,3.58333333333333,56.4166666666667,94,1,463,"CLD","DF4.5",1,"post"
"130",101,30,60,0,0,0,1,"CLD","DF4.5",1,"post"
"131",101,31,46.4833333333333,13.5166666666667,11,2,67,"CLD","DF4.5",1,"post"
"132",101,32,48.15,11.85,6,2,55,"CLD","DF4.5",1,"post"
"133",101,33,42.7166666666667,17.2833333333333,7,3,51,"CLD","DF4.5",1,"post"
"134",101,34,36.65,23.35,28,5,172,"CLD","DF4.5",1,"post"
"135",101,35,21.8333333333333,38.1666666666667,69,3,398,"CLD","DF4.5",1,"post"
"136",101,36,40.65,19.35,5,3,33,"CLD","DF4.5",1,"post"
"137",101,37,60,0,0,0,0,"CLD","DF4.5",1,"post"
"138",101,38,25.2666666666667,34.7333333333333,80,2,513,"CLD","DF4.5",1,"post"
"139",101,39,41.6833333333333,18.3166666666667,9,4,92,"CLD","DF4.5",1,"post"
"140",101,40,60,0,0,0,3,"CLD","DF4.5",1,"post"
"141",101,41,40.1666666666667,19.8333333333333,20,2,94,"CLD","DF4.5",1,"post"
"142",101,42,49.1333333333333,10.8666666666667,7,2,35,"CLD","DF4.5",1,"post"
"143",101,43,60,0,0,0,0,"CLD","DF4.5",1,"post"
"144",101,44,48.4333333333333,11.5666666666667,12,2,93,"CLD","DF4.5",1,"post"
"145",101,45,40.6333333333333,19.3666666666667,23,2,126,"CLD","DF4.5",1,"post"
"146",101,46,40.0333333333333,19.9666666666667,22,2,92,"CLD","DF4.5",1,"post"
"147",101,47,44.75,15.25,19,4,160,"CLD","DF4.5",1,"post"
"148",101,48,21.15,38.85,110,5,611,"CLD","DF4.5",1,"post"
"149",101,49,31.9333333333333,28.0666666666667,66,7,431,"CLD","DF4.5",1,"post"
"150",101,50,36.2,23.8,18,5,251,"CLD","DF4.5",1,"post"
"151",102,-24,60,0,0,0,0,"CLD","DF4.5",1,"pre"
"152",102,-23,57.4166666666667,2.58333333333333,1,2,20,"CLD","DF4.5",1,"pre"
"153",102,-22,56.05,3.95,0,2,13,"CLD","DF4.5",1,"pre"
"154",102,-21,60,0,5,0,36,"CLD","DF4.5",1,"pre"
"155",102,-20,38.0666666666667,21.9333333333333,38,2,195,"CLD","DF4.5",1,"pre"
"156",102,-19,60,0,0,0,6,"CLD","DF4.5",1,"pre"
"157",102,-18,41.35,18.65,15,4,106,"CLD","DF4.5",1,"pre"
"158",102,-17,55.15,4.85,5,2,39,"CLD","DF4.5",1,"pre"
"159",102,-16,60,0,0,0,0,"CLD","DF4.5",1,"pre"
"160",102,-15,60,0,0,0,0,"CLD","DF4.5",1,"pre"
"161",102,-14,60,0,0,0,1,"CLD","DF4.5",1,"pre"
"162",102,-13,53.4666666666667,6.53333333333333,4,2,34,"CLD","DF4.5",1,"pre"
"163",102,-12,60,0,0,0,6,"CLD","DF4.5",1,"pre"
"164",102,-11,46.7166666666667,13.2833333333333,15,2,76,"CLD","DF4.5",1,"pre"
"165",102,-10,60,0,0,0,2,"CLD","DF4.5",1,"pre"
"166",102,-9,53.7166666666667,6.28333333333333,4,2,31,"CLD","DF4.5",1,"pre"
"167",102,-8,60,0,0,0,2,"CLD","DF4.5",1,"pre"
"168",102,-7,60,0,0,0,3,"CLD","DF4.5",1,"pre"
"169",102,-6,55.4,4.6,1,2,14,"CLD","DF4.5",1,"pre"
"170",102,-5,60,0,0,0,2,"CLD","DF4.5",1,"pre"
"171",102,-4,51.4,8.6,10,2,76,"CLD","DF4.5",1,"pre"
"172",102,-3,27.0666666666667,32.9333333333333,40,2,218,"CLD","DF4.5",1,"pre"
"173",102,-2,42.5,17.5,49,6,262,"CLD","DF4.5",1,"pre"
"174",102,-1,39.1166666666667,20.8833333333333,82,3,440,"CLD","DF4.5",1,"pre"
"175",102,0,4.3,10.7,65,2,302,"CLD","DF4.5",1,"during"
"176",102,1,31.35,28.65,90,4,490,"CLD","DF4.5",1,"during"
"177",102,2,59.75,0.25,21,1,144,"CLD","DF4.5",1,"during"
"178",102,3,52.6833333333333,7.31666666666667,5,1,47,"CLD","DF4.5",1,"during"
"179",102,4,52.7333333333333,7.26666666666667,21,3,135,"CLD","DF4.5",1,"during"
"180",102,5,44.4333333333333,15.5666666666667,26,1,132,"CLD","DF4.5",1,"during"
"181",102,6,47.4166666666667,12.5833333333333,86,3,474,"CLD","DF4.5",1,"during"
"182",102,7,45.3333333333333,14.6666666666667,36,4,256,"CLD","DF4.5",1,"during"
"183",102,8,50.2666666666667,9.73333333333333,11,2,73,"CLD","DF4.5",1,"during"
"184",102,9,39.05,20.95,78,6,385,"CLD","DF4.5",1,"during"
"185",102,10,50.7,9.3,14,2,112,"CLD","DF4.5",1,"during"
"186",102,11,54.85,5.15,25,4,120,"CLD","DF4.5",1,"during"
