"","LOAD","n"
"1","2025-06-23_3.5_B",244
"2","2025-06-23_3_B",282
"3","2025-06-23_3_D",266
"4","2025-06-23_4.5_B",186
"5","2025-06-24_3.5_B",242
"6","2025-06-24_4.5_D",185
"7","2025-06-25_3.5_D",242
"8","2025-06-25_4.5_B",425
"9","2025-06-30_3.5_B",244
"10","2025-06-30_3_B",281
"11","2025-06-30_4.5_B",184
"12","2025-06-30_4.5_D",175
"13","2025-07-01_3_D",271
"14","2025-07-02_3.5_B",242
"15","2025-07-02_3.5_D",246
"16","2025-07-02_4.5_B",185
"17","2025-07-07_3_B",281
"18","2025-07-07_4.5_B",186
"19","2025-07-07_4.5_D",175
"20","2025-07-08_3.5_B",244
"21","2025-07-08_3.5_D",242
"22","2025-07-08_4.5_B",184
"23","2025-07-09_3_D",281
"24","2025-07-10_3_B",280
"25","2025-07-11_3.5_B",380
"26","2025-07-11_3.5_D",274
"27","2025-07-14_3.5_B",242
"28","2025-07-14_3.5_D",228
"29","2025-07-14_3_B",273
"30","2025-07-14_4.5_B",180
"31","2025-07-15_3_D",280
"32","2025-07-15_4.5_B",190
"33","2025-07-16_3.5_B",242
"34","2025-07-16_4.5_B",179
"35","2025-07-16_4.5_D",179
"36","2025-07-17_3.5_B",239
"37","2025-07-18_3.5_B",248
"38","2025-07-18_3.5_D",233
"39","2025-07-21_3.5_B",232
"40","2025-07-21_3_B",282
"41","2025-07-21_4.5_B",186
"42","2025-07-21_4.5_D",185
"43","2025-07-22_3.5_D",242
"44","2025-07-22_4.5_B",186
"45","2025-07-23_3.5_D",186
"46","2025-07-23_4.5_B",273
"47","2025-07-24_3.5_B",267
"48","2025-07-24_4.5_B",206
"49","2025-07-25_3.5_D",274
"50","2025-07-25_4.5_B",267
"51","2025-07-28_3.5_B",242
"52","2025-07-28_3_B",282
"53","2025-07-28_4.5_B",186
"54","2025-07-28_4.5_D",175
"55","2025-07-29_3_D",280
"56","2025-07-29_4.5_B",185
"57","2025-07-30_3.5_B",242
"58","2025-07-30_3.5_D",188
"59","2025-07-30_4.5_B",185
"60","2025-07-31_3.5_B",267
"61","2025-08-01_3.5_B",534
"62","2025-08-01_3.5_D",243
"63","2025-08-05_3.5_D",200
"64","2025-08-07_3.5_B",268
"65","2025-08-08_3.5_B",260
"66","2025-08-08_3.5_D",344
"67","2025-08-08_4.5_B",268
"68","2025-08-12_3.5_B",247
"69","2025-08-12_3.5_D",215
"70","2025-08-14_3.5_B",365
"71","2025-08-15_3.5_D",238
"72","2025-08-15_4.5_B",268
"73","2025-08-19_3.5_B",268
"74","2025-08-19_3.5_D",244
"75","2025-08-20_3_B",280
"76","2025-08-20_4.5_B",185
"77","2025-08-21_3.5_B",267
"78","2025-08-22_3.5_B",202
"79","2025-08-22_3.5_D",232
"80","2025-08-25_3.5_B",505
"81","2025-08-25_3.5_D",274
"82","2025-08-26_3.5_D",242
"83","2025-08-27_3.5_B",268
"84","2025-08-27_3.5_D",140
"85","2025-08-27_4.5_B",267
"86","2025-08-28_3.5_B",268
